Rank,Team,Played,Won,Lost,Tied,Points
1,SHRUSTI SMASHERS,0,0,0,0,0
2,KISMAT KICKSTARTERS,0,0,0,0,0
3,SMASH MATES,0,0,0,0,0
4,ROSWALT RISERS,0,0,0,0,0
5,SOBO DINK STARS,0,0,0,0,0
6,VI KINGS RANGOLI,0,0,0,0,0
7,AVISHKAR PICKLEBALL TEAM,0,0,0,0,0
8,CAR TOUCH PLUS,0,0,0,0,0
9,KALPALABDHI BULLS,0,0,0,0,0
10,DIVYA SECURITY SYSTEM,0,0,0,0,0
